id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41223225,Cozy big room w. balcony n. center and river isar,236036081,Sarah,,Untergiesing-Harlaching,48.10711,11.56805,Private room,49,9,0,,,1,329
41235655,Pretty private appartement in Munich for 2 people,42700809,Annie,,Untergiesing-Harlaching,48.10623,11.56686,Entire home/apt,80,1,0,,,1,24
41251272,Studioapartment nähe Englischer Garten,36411008,Damir,,Altstadt-Lehel,48.14613,11.59452,Entire home/apt,55,3,2,2020-02-02,0.22,1,297
41258742,Loft Wohnung mit Wintergarten,118317668,Tanja,,Tudering-Riem,48.11666,11.69306,Entire home/apt,75,5,0,,,1,84
41279172,Leben in urbanem Stadtviertel,282124422,Heidi,,Schwanthalerhöhe,48.13701,11.53998,Entire home/apt,60,31,0,,,1,309
41301973,Studio,312809209,Hotel Mirabell,,Ludwigsvorstadt-Isarvorstadt,48.13587,11.55962,Private room,87,1,0,,,6,235
41302093,Loft_M,312809209,Hotel Mirabell,,Ludwigsvorstadt-Isarvorstadt,48.13737,11.55844,Private room,65,1,0,,,6,202
41302155,Single,312809209,Hotel Mirabell,,Ludwigsvorstadt-Isarvorstadt,48.13534,11.55965,Private room,64,1,0,,,6,227
41303497,München schönes Apartment,324491779,Johann,,Altstadt-Lehel,48.14059,11.57046,Private room,45,1,0,,,1,346
41309273,Wohnung Loft mit eigenem Eingang Nähe U-Bahn,222178666,Manuela,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09324,11.50794,Entire home/apt,45,3,18,2020-10-24,2.32,2,220
41330210,Appartement klein/fein BMW Welt/Olympiazentrum,117599079,Damir,,Feldmoching-Hasenbergl,48.19654,11.53199,Entire home/apt,79,3,2,2020-03-15,0.22,1,329
41344646,Cozy Room perfect for Booklovers,66031799,Maria,,Berg am Laim,48.129,11.61496,Private room,27,1,26,2020-09-25,2.69,1,2
41346574,"Business studio, central and silent",4951817,Joseph,,Au-Haidhausen,48.1262,11.58827,Entire home/apt,43,3,26,2020-10-06,2.70,4,66
41347187,Kleines süßes 1 Zimmer-Apartment,324946063,Florentine,,Ramersdorf-Perlach,48.10168,11.61639,Private room,35,1,12,2020-10-05,1.30,1,107
41358712,Superior,307143642,Hotel Metropol,,Ludwigsvorstadt-Isarvorstadt,48.13852,11.55691,Private room,80,1,0,,,5,274
41358756,Comfort Zimmer,307143642,Hotel Metropol,,Ludwigsvorstadt-Isarvorstadt,48.13882,11.55668,Private room,100,1,0,,,5,292
41358765,Deluxe Zimmer,307143642,Hotel Metropol,,Ludwigsvorstadt-Isarvorstadt,48.13898,11.55655,Private room,90,1,0,,,5,290
41358797,Business Zimmer,307143642,Hotel Metropol,,Ludwigsvorstadt-Isarvorstadt,48.13841,11.55793,Private room,111,1,0,,,5,293
41362940,Sehr helle und schöne Wohnung im Münchner Osten,8233226,Désirée,,Ramersdorf-Perlach,48.10888,11.64432,Entire home/apt,75,4,0,,,1,88
41363367,Wunderschöne Neubauwohnung sehr zentral,20113864,Fabienne,,Schwanthalerhöhe,48.14127,11.54169,Entire home/apt,79,1,4,2020-10-15,0.47,1,23
41369423,gemütliches Zimmer mit Bad zentral in Isarnähe,8067726,Sabine,,Au-Haidhausen,48.12088,11.58094,Private room,43,3,2,2020-02-20,0.22,1,0
41416110,Blick über die Dächer: 84 qm sauber und gemütlich,305640859,Raban,,Sendling,48.10928,11.53857,Entire home/apt,135,5,0,,,2,240
41429452,"Großes Zimmer in wunderschönem, ruhigem Haus.",50712170,Sabine,,Tudering-Riem,48.11657,11.64776,Private room,45,2,1,2020-01-28,0.11,3,0
41429800,"Zimmer in wunderschöner Whg, alles neu",50712170,Sabine,,Tudering-Riem,48.11831,11.64941,Private room,35,1,3,2020-08-31,0.37,3,330
41444000,"Комфортно, удобно.",198114955,Александр,,Berg am Laim,48.1238,11.6122,Private room,39,1,0,,,3,179
41446376,** Specialangebot ** Apartment mit Küche -Top Lage,2266917,Verena,,Sendling-Westpark,48.11849,11.52533,Entire home/apt,60,30,0,,,21,365
41451197,"Neues Boxspringbett, TV + ruhig wunderschöne Whg",50712170,Sabine,,Tudering-Riem,48.11766,11.64953,Private room,35,1,1,2020-02-29,0.12,3,307
41452001,Lissys Villa Kunterbunt,326193405,Lissy,,Laim,48.12963,11.51006,Private room,35,1,5,2020-10-23,0.52,1,36
41495524,Bright Modern Style Apartment in Munich,225286183,Steve,,Milbertshofen-Am Hart,48.17798,11.5677,Entire home/apt,85,3,3,2020-07-12,0.34,1,4
41517059,Gemütliches Studio für 1 Person in Johanneskirchen,34896981,Tanja,,Bogenhausen,48.17125,11.6424,Entire home/apt,50,5,2,2020-10-01,0.22,1,177
41527530,Gemütliches Zimmer,257523525,Jackeline,,Milbertshofen-Am Hart,48.18689,11.57282,Private room,40,1,2,2020-01-29,0.21,1,89
41531625,Super cozy Apartment,327135266,Viktoria,,Neuhausen-Nymphenburg,48.14442,11.51836,Entire home/apt,93,2,4,2020-10-11,1.62,1,67
41544737,Dachgeschoss-Luxuswohnung in Bogenhausen,270941645,Sandra,,Au-Haidhausen,48.1374,11.61232,Entire home/apt,199,1,1,2020-07-13,0.28,1,269
41546391,Privatzimmer mit eigenem Bad in zentraler Lage,326785237,Flora,,Neuhausen-Nymphenburg,48.15847,11.53713,Private room,60,1,0,,,1,365
41574129,Greate location in city center,327619441,Emma,,Maxvorstadt,48.14673,11.57015,Entire home/apt,70,1,1,2020-02-09,0.11,1,88
41577073,Apartment direkt gegenüber der Messe München,327654573,Nicola,,Tudering-Riem,48.13391,11.6976,Entire home/apt,69,3,0,,,1,90
41580355,Zimmer in U-Bahn-Nähe Hohenzollernplatz,2371321,Patricia,,Schwabing-West,48.15904,11.57083,Private room,31,2,21,2020-10-08,2.23,1,34
41601011,Frauenpower-Zimmer im Münchner Nordwesten,12842297,Angelika,,Allach-Untermenzing,48.18112,11.47811,Private room,35,4,0,,,1,177
41613877,Minimalistik sweet appartment city center,328107118,Fernanda,,Neuhausen-Nymphenburg,48.15505,11.53754,Entire home/apt,78,3,1,2020-02-15,0.12,1,89
41617739,Schöne moderne Altbauwohnung in Schwabing-West,20404081,Birthe,,Schwabing-West,48.1603,11.57382,Entire home/apt,130,3,0,,,1,43
41633492,100qm in quiet central residential area,119868072,Mi Casa,,Sendling,48.10656,11.5406,Entire home/apt,120,1,3,2020-10-04,1.02,2,2
41636559,Central flat in city centre of Munich,327583223,Anna,,Altstadt-Lehel,48.13431,11.57183,Entire home/apt,29,1,52,2020-10-25,5.86,1,314
41648454,Cozy private room in beautiful Parkstadt Schwabing,2522273,Mileen,,Schwabing-Freimann,48.17898,11.59295,Entire home/apt,80,1,2,2020-09-16,0.80,1,364
41655983,Cozy room in downtown Munich,21681691,Phil,,Ludwigsvorstadt-Isarvorstadt,48.13256,11.56268,Private room,38,2,2,2020-01-31,0.22,2,331
41681325,Zimmer mit Herz,19966762,Uta,,Bogenhausen,48.14176,11.64539,Private room,60,1,0,,,2,180
41683286,Klein und gemütlich,285545107,Mahdi,,Ramersdorf-Perlach,48.10311,11.65852,Entire home/apt,75,1,0,,,2,179
41689167,Schlaf Möglichkeit auf der Couch im Wohnzimmer,322830752,Ahmet,,Ramersdorf-Perlach,48.10513,11.61404,Shared room,45,1,0,,,2,179
41695738,Minimalistische Übernachtung im Zentrum,53796784,Christine,,Ludwigsvorstadt-Isarvorstadt,48.13183,11.56348,Private room,28,3,3,2020-02-17,0.32,1,0
41696543,Sehr Zentral und trotzdem ruhig!!,251587959,Eva,,Neuhausen-Nymphenburg,48.14805,11.53472,Entire home/apt,80,1,0,,,1,87
41697271,Zimmer mit Aussicht II - Am Flaucher/München,77662837,Yvonne,,Untergiesing-Harlaching,48.10537,11.55968,Private room,35,2,0,,,1,298
41697278,**Angebot** Apartment mit Küche Nähe Ubahn,2266917,Verena,,Sendling-Westpark,48.11891,11.52444,Entire home/apt,60,30,0,,,21,113
41697611,TOP Angebot - Apartment Nähe Ubahn mit Küche,107104629,Alexandra,,Sendling-Westpark,48.11708,11.52585,Entire home/apt,68,30,0,,,8,365
41699181,Nice Stay Munich,329230959,Christian,,Schwabing-West,48.16727,11.55817,Private room,69,1,0,,,1,180
41702105,ONLY 1250€ per month ! Min. 3 Months,291275462,Julia,,Schwabing-West,48.16433,11.56345,Entire home/apt,42,120,0,,,3,177
41710827,Modern Intimate Studio in Obergiesing,329265451,Munico,,Ramersdorf-Perlach,48.1046,11.60427,Entire home/apt,72,1,147,2020-10-25,16.46,3,351
41711024,Modern Studio with Balcony in Obergiesing,329265451,Munico,,Ramersdorf-Perlach,48.1046,11.60427,Entire home/apt,85,1,228,2020-10-21,25.52,3,365
41711131,Carefully Designed Maisonette Suite in Obergiesing,329265451,Munico,,Ramersdorf-Perlach,48.1046,11.60427,Entire home/apt,114,1,21,2020-10-01,2.35,3,331
41746455,Nice room in a spacious apartment,48230240,Letizia,,Bogenhausen,48.13859,11.61531,Private room,60,1,0,,,1,84
41753346,Warme lichtdurchflutete Wohnung für 2,17634069,Tiziana,,Ramersdorf-Perlach,48.11917,11.60058,Entire home/apt,80,3,0,,,1,29
41756085,Ruhige 1 Zimmer Dachgeschoss Wohnung Alt Schwabing,2094782,Anja,,Schwabing-Freimann,48.16244,11.58873,Entire home/apt,65,85,0,,,2,298
41758401,Mein Schwabinger Tor,4589001,Charlotte,,Schwabing-Freimann,48.16654,11.58854,Entire home/apt,250,2,0,,,1,113
41759275,Apartment mit Bergblick,287045827,Maximilian,,Tudering-Riem,48.13411,11.69744,Entire home/apt,75,2,2,2020-05-02,0.25,1,40
